,0,1,2
544,The Clorox Company,CLX,
545,The Coca-Cola Company,KO,
546,"The Cooper Companies, Inc.",COO,
547,The Estée Lauder Companies Inc.,EL,
548,"The Gap, Inc.",GAP,
549,"The Goldman Sachs Group, Inc.",GS,
550,The Goodyear Tire & Rubber Company,GT,
551,"The Hartford Insurance Group, Inc.",HIG,
552,The Hershey Company,HSY,
553,"The Home Depot, Inc.",HD,
554,"The Interpublic Group of Companies, Inc.",IPG,
555,The J. M. Smucker Company,SJM,
556,The Kraft Heinz Company,KHC,
557,The Kroger Co.,KR,
558,The Macerich Company,MAC,
559,The Mosaic Company,MOS,
560,"The PNC Financial Services Group, Inc.",PNC,
561,The Procter & Gamble Company,PG,
562,The Progressive Corporation,PGR,
563,The Sherwin-Williams Company,SHW,
564,The Southern Company,SO,
565,"The TJX Companies, Inc.",TJX,
566,"The Travelers Companies, Inc.",TRV,
567,The Walt Disney Company,DIS,
568,The Western Union Company,WU,
569,"The Williams Companies, Inc.",WMB,
570,Thermo Fisher Scientific Inc.,TMO,
571,"Thryv Holdings, Inc.",THRY,
572,Tiffany & Co.,TIF,
573,Time Warner Cable Inc.,TWC,
574,"Total System Services, Inc.",TSS,
575,Tractor Supply Company,TSCO,
576,Trane Technologies plc,TT,
577,TransDigm Group Incorporated,TDG,
578,Transocean Ltd.,RIG,
579,Travel + Leisure Co.,TNL,
580,Trimble Inc.,TRMB,
581,"Tripadvisor, Inc.",TRIP,
582,Truist Financial Corporation,TFC,
583,"Twitter, Inc.",TWTR,
584,Tyco International plc,TYC,
585,"Tyler Technologies, Inc.",TYL,
586,"Tyson Foods, Inc.",TSN,
587,U.S. Bancorp,USB,
588,"UDR, Inc.",UDR,
589,"Uber Technologies, Inc.",UBER,
590,"Ulta Beauty, Inc.",ULTA,
591,"Under Armour, Inc.",UA,
592,Union Pacific Corporation,UNP,
593,"United Airlines Holdings, Inc.",UAL,
594,"United Parcel Service, Inc.",UPS,
595,"United Rentals, Inc.",URI,
596,UnitedHealth Group Incorporated,UNH,
597,"Universal Health Services, Inc.",UHS,
598,Unum Group,UNM,
599,"Urban Outfitters, Inc.",URBN,
600,V.F. Corporation,VFC,
601,VICI Properties Inc.,VICI,
602,Valaris Limited,VAL,
603,Valero Energy Corporation,VLO,
604,"Varian Medical Systems, Inc.",VAR,
605,"Ventas, Inc.",VTR,
606,Veralto Corporation,VLTO,
607,"VeriSign, Inc.",VRSN,
608,"Verisk Analytics, Inc.",VRSK,
609,Verizon Communications Inc.,VZ,
610,Vertex Pharmaceuticals Incorporated,VRTX,
611,Viacom Inc.,VIAB,Y
612,Viatris Inc.,VTRS,
613,Visa Inc.,V,
614,Vornado Realty Trust,VNO,
615,Vulcan Materials Company,VMC,
616,W. R. Berkley Corporation,WRB,
617,"W.W. Grainger, Inc.",GWW,
618,"WEC Energy Group, Inc.",WEC,
619,"Walgreens Boots Alliance, Inc.",WBA,
620,Walmart Inc.,WMT,
621,"Warner Bros. Discovery, Inc.",WBD,
622,"Warner Media, LLC",WBD,
623,"Waste Management, Inc.",WM,
624,Waters Corporation,WAT,
625,"WellCare Health Plans, Inc.",WCG,
626,Wells Fargo & Company,WFC,
627,Welltower Inc.,WELL,
628,"West Pharmaceutical Services, Inc.",WST,
629,WestRock Company,WRK,
630,Western Digital Corporation,WDC,
631,Westinghouse Air Brake Technologies Corporation,WAB,
632,Weyerhaeuser Company,WY,
633,Whirlpool Corporation,WHR,
634,"Whole Foods Market, Inc.",WFM,
635,Willis Towers Watson Public Limited Company,WTW,
636,"Wynn Resorts, Limited",WYNN,
637,XL Group Ltd,XL,
638,Xcel Energy Inc.,XEL,
639,Xerox Holdings Corporation,XRX,
640,"Xilinx, Inc.",XLNX,
641,Xylem Inc.,XYL,
642,"Yum! Brands, Inc.",YUM,
643,Zebra Technologies Corporation,ZBRA,
644,"Zimmer Biomet Holdings, Inc.",ZBH,
645,"Zions Bancorporation, National Association",ZION,
646,Zoetis Inc.,ZTS,
647,eBay Inc.,EBAY,
648,lululemon athletica inc.,LULU,
